asfsdfbenchmark , comp-exec , lnt , failed with exit status 1
binarysearch , comp-exec , lnt , 6.31 , 2272 , 1416
bubblesort , comp-exec , lnt , 4.30 , 2272 , 1416
closure , comp-exec , lnt , 3.80 , 2272 , 1348
dart , comp-exec , lnt , 2.50 , 2272 , 1276
evalexpr , comp-exec , lnt , 3.41 , 2272 , 1256
evalsym , comp-exec , lnt , 28.75 , 2272 , 1216
evaltree , comp-exec , lnt , 3.50 , 2272 , 1420
factorial6 , comp-exec , lnt , 1.80 , 2272 , 1260
factorial7 , comp-exec , lnt , 1.70 , 2272 , 1220
factorial8 , comp-exec , lnt , 1.50 , 2272 , 1244
factorial9 , comp-exec , lnt , 2.30 , 2272 , 1420
fib32 , comp-exec , lnt , 6.21 , 2272 , 1424
fibfree , comp-exec , lnt , 2.80 , 2272 , 1424
fibonacci , comp-exec , lnt , failed with exit status 139
garbagecollection , comp-exec , lnt , 2.00 , 2272 , 1344
hanoi , comp-exec , lnt , 2.40 , 2272 , 1216
langton , comp-exec , lnt , 68.31 , 2272 , 1220
logic3 , comp-exec , lnt , 1.80 , 2272 , 1268
merge , comp-exec , lnt , 2.10 , 2272 , 1268
mergesort , comp-exec , lnt , failed with exit status 1
missionariescannibals , comp-exec , lnt , failed with exit status 139
oddeven , comp-exec , lnt , 2.20 , 2272 , 1228
permutations , comp-exec , lnt , failed with exit status 1
quicksort , comp-exec , lnt , failed with exit status 1
revelt , comp-exec , lnt , 1.81 , 2272 , 1340
revnat , comp-exec , lnt , 9.11 , 2272 , 1416
sieve , comp-exec , lnt , failed with exit status 139
tak , comp-exec , lnt , 1.90 , 2272 , 1240
tautologyhard , comp-exec , lnt , 2.31 , 2272 , 1416
asfsdfbenchmark , comp-exec , lotos , failed with exit status 1
binarysearch , comp-exec , lotos , 3.60 , 2272 , 1336
bubblesort , comp-exec , lotos , 1.90 , 2272 , 1224
closure , comp-exec , lotos , 1.90 , 2272 , 1416
dart , comp-exec , lotos , 0.80 , 2272 , 1248
evalexpr , comp-exec , lotos , 1.50 , 2272 , 1416
evalsym , comp-exec , lotos , 20.92 , 2272 , 1336
evaltree , comp-exec , lotos , 1.40 , 2272 , 1268
factorial6 , comp-exec , lotos , 0.60 , 2272 , 1268
factorial7 , comp-exec , lotos , 0.70 , 2272 , 1268
factorial8 , comp-exec , lotos , 0.70 , 2272 , 1340
factorial9 , comp-exec , lotos , 0.70 , 2272 , 1268
fib32 , comp-exec , lotos , 3.50 , 2272 , 1336
fibfree , comp-exec , lotos , 1.40 , 2272 , 1348
fibonacci , comp-exec , lotos , failed with exit status 139
garbagecollection , comp-exec , lotos , 0.80 , 2272 , 1332
hanoi , comp-exec , lotos , 0.80 , 2272 , 1260
langton , comp-exec , lotos , 48.74 , 2272 , 1252
logic3 , comp-exec , lotos , 0.70 , 2272 , 1336
merge , comp-exec , lotos , 0.80 , 2272 , 1268
mergesort , comp-exec , lotos , failed with exit status 1
missionariescannibals , comp-exec , lotos , failed with exit status 139
oddeven , comp-exec , lotos , 0.70 , 2272 , 1336
permutations , comp-exec , lotos , failed with exit status 1
quicksort , comp-exec , lotos , failed with exit status 1
revelt , comp-exec , lotos , 0.60 , 2272 , 1336
revnat , comp-exec , lotos , 7.31 , 2272 , 1268
sieve , comp-exec , lotos , failed with exit status 139
tak , comp-exec , lotos , 0.70 , 2272 , 1248
tautologyhard , comp-exec , lotos , 0.80 , 2272 , 1336
asfsdfbenchmark , comp , haskell , 1.70 , 119648 , 76784
asfsdfbenchmark , exec , haskell , 46.54 , 191872 , 188984
binarysearch , comp , haskell , 1.60 , 117600 , 77620
binarysearch , exec , haskell , 4.30 , 91508 , 88432
bubblesort , comp , haskell , 2.30 , 131936 , 91856
bubblesort , exec , haskell , 2.00 , 7588 , 4280
closure , comp , haskell , 3.00 , 131936 , 91776
closure , exec , haskell , 0.10 , 2020 , 52
dart , comp , haskell , 1.40 , 117600 , 75660
dart , exec , haskell , 0.10 , 2020 , 52
evalexpr , comp , haskell , 1.50 , 116576 , 73072
evalexpr , exec , haskell , 0.70 , 7540 , 4564
evalsym , comp , haskell , 1.50 , 117600 , 77648
evalsym , exec , haskell , 21.02 , 7536 , 4620
evaltree , comp , haskell , 1.40 , 116576 , 73308
evaltree , exec , haskell , 3.40 , 175468 , 172704
factorial6 , comp , haskell , 1.10 , 116576 , 74872
factorial6 , exec , haskell , 0.10 , 2020 , 56
factorial7 , comp , haskell , 1.10 , 117600 , 75204
factorial7 , exec , haskell , 0.10 , 2020 , 56
factorial8 , comp , haskell , 1.20 , 116576 , 75460
factorial8 , exec , haskell , 0.10 , 2020 , 56
factorial9 , comp , haskell , 1.20 , 117600 , 76752
factorial9 , exec , haskell , 0.40 , 12636 , 9764
fib32 , comp , haskell , 1.50 , 116576 , 72228
fib32 , exec , haskell , 4.40 , 91508 , 88500
fibfree , comp , haskell , 1.80 , 118624 , 77528
fibfree , exec , haskell , 0.10 , 2020 , 52
fibonacci , comp , haskell , 1.20 , 117600 , 76376
fibonacci , exec , haskell , 19.52 , 272736 , 269864
garbagecollection , comp , haskell , 1.20 , 117600 , 75904
garbagecollection , exec , haskell , 0.10 , 2020 , 56
hanoi , comp , haskell , 1.40 , 118624 , 76364
hanoi , exec , haskell , 0.10 , 2020 , 52
langton , comp , haskell , 2.40 , 130912 , 90120
langton , exec , haskell , 343.89 , 12676 , 9968
logic3 , comp , haskell , 1.20 , 117600 , 75216
logic3 , exec , haskell , 0.10 , 2020 , 52
merge , comp , haskell , 1.40 , 116576 , 73924
merge , exec , haskell , 0.10 , 2020 , 56
mergesort , comp , haskell , 1.40 , 117600 , 76324
mergesort , exec , haskell , 0.50 , 6512 , 3368
missionariescannibals , comp , haskell , 1.90 , 120672 , 77448
missionariescannibals , exec , haskell , failed with exit status 1
oddeven , comp , haskell , 1.20 , 117600 , 75664
oddeven , exec , haskell , 0.20 , 6500 , 3172
permutations , comp , haskell , 1.30 , 117600 , 74364
permutations , exec , haskell , failed with exit status 1
quicksort , comp , haskell , 1.40 , 117600 , 75160
quicksort , exec , haskell , 7.61 , 20848 , 17500
revelt , comp , haskell , 1.30 , 117600 , 76484
revelt , exec , haskell , 0.10 , 2020 , 52
revnat , comp , haskell , 1.30 , 117600 , 75156
revnat , exec , haskell , 195.42 , 8548 , 5536
sieve , comp , haskell , 1.50 , 117600 , 77204
sieve , exec , haskell , timed out after 2500
tak , comp , haskell , 1.30 , 117600 , 76344
tak , exec , haskell , 0.10 , 2020 , 52
tautologyhard , comp , haskell , 1.20 , 116576 , 73580
tautologyhard , exec , haskell , 0.10 , 2020 , 52
asfsdfbenchmark , comp-exec , maude , failed with exit status 1
binarysearch , comp-exec , maude , failed with exit status 1
bubblesort , comp-exec , maude , 22.22 , 11636 , 9776
closure , comp-exec , maude , 0.70 , 13812 , 11992
dart , comp-exec , maude , 0.30 , 12628 , 10216
evalexpr , comp-exec , maude , failed with exit status 1
evalsym , comp-exec , maude , 220.38 , 10640 , 8692
evaltree , comp-exec , maude , 18.92 , 299448 , 297368
factorial6 , comp-exec , maude , 0.10 , 2020 , 52
factorial7 , comp-exec , maude , 0.10 , 2020 , 56
factorial8 , comp-exec , maude , 0.20 , 15724 , 13764
factorial9 , comp-exec , maude , failed with exit status 1
fib32 , comp-exec , maude , 53.24 , 10944 , 8860
fibfree , comp-exec , maude , 0.20 , 13380 , 8736
fibonacci , comp-exec , maude , failed with exit status 1
garbagecollection , comp-exec , maude , 0.10 , 2020 , 56
hanoi , comp-exec , maude , 0.10 , 2020 , 52
langton , comp-exec , maude , failed with exit status 1
logic3 , comp-exec , maude , 0.20 , 10040 , 7888
merge , comp-exec , maude , 0.20 , 10072 , 8288
mergesort , comp-exec , maude , 1.40 , 10976 , 9080
missionariescannibals , comp-exec , maude , failed with exit status 1
oddeven , comp-exec , maude , 3.70 , 10480 , 8484
permutations , comp-exec , maude , 0.10 , 2020 , 56
quicksort , comp-exec , maude , 41.63 , 34148 , 32424
revelt , comp-exec , maude , 0.20 , 13812 , 11872
revnat , comp-exec , maude , 56.14 , 16204 , 14276
sieve , comp-exec , maude , failed with exit status 1
tak , comp-exec , maude , 0.40 , 14404 , 11908
tautologyhard , comp-exec , maude , 0.10 , 2020 , 52
asfsdfbenchmark , comp , mcrl2 , timed out after 2500
asfsdfbenchmark , comp , mcrl2-jittyc , timed out after 2500
binarysearch , comp , mcrl2 , 0.20 , 13620 , 9520
binarysearch , exec , mcrl2 , 262.32 , 14412 , 9280
binarysearch , comp , mcrl2-jittyc , 0.20 , 13488 , 9988
binarysearch , exec , mcrl2-jittyc , timed out after 2500
bubblesort , comp , mcrl2 , 319.96 , 18644 , 15424
bubblesort , exec , mcrl2 , 5.80 , 17332 , 12280
bubblesort , comp , mcrl2-jittyc , 321.67 , 18644 , 15584
bubblesort , exec , mcrl2-jittyc , 18.11 , 17304 , 12700
closure , comp , mcrl2 , 3.70 , 22276 , 18324
closure , exec , mcrl2 , 0.20 , 14408 , 9468
closure , comp , mcrl2-jittyc , 3.70 , 22388 , 18476
closure , exec , mcrl2-jittyc , 13.51 , 14588 , 10564
dart , comp , mcrl2 , 0.10 , 2020 , 52
dart , exec , mcrl2 , failed with exit status 1
dart , comp , mcrl2-jittyc , 0.10 , 2020 , 56
dart , exec , mcrl2-jittyc , failed with exit status 1
evalexpr , comp , mcrl2 , 0.20 , 13224 , 9812
evalexpr , exec , mcrl2 , 45.74 , 14364 , 9816
evalexpr , comp , mcrl2-jittyc , 0.10 , 2020 , 56
evalexpr , exec , mcrl2-jittyc , 15.31 , 14568 , 10392
evalsym , comp , mcrl2 , 0.10 , 2020 , 56
evalsym , exec , mcrl2 , 2271.39 , 14520 , 9884
evalsym , comp , mcrl2-jittyc , 0.20 , 13084 , 8976
evalsym , exec , mcrl2-jittyc , 41.43 , 14548 , 10468
evaltree , comp , mcrl2 , 0.10 , 2020 , 52
evaltree , exec , mcrl2 , 120.40 , 14416 , 9696
evaltree , comp , mcrl2-jittyc , 0.10 , 2020 , 52
evaltree , exec , mcrl2-jittyc , 132.91 , 14500 , 10136
factorial6 , comp , mcrl2 , 0.10 , 2020 , 56
factorial6 , exec , mcrl2 , 0.10 , 2020 , 52
factorial6 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial6 , exec , mcrl2-jittyc , 9.31 , 14312 , 9884
factorial7 , comp , mcrl2 , 0.10 , 2020 , 56
factorial7 , exec , mcrl2 , 0.20 , 19404 , 14556
factorial7 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
factorial7 , exec , mcrl2-jittyc , 9.41 , 16472 , 12288
factorial8 , comp , mcrl2 , 0.10 , 2020 , 52
factorial8 , exec , mcrl2 , failed with exit status 1
factorial8 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
factorial8 , exec , mcrl2-jittyc , failed with exit status 1
factorial9 , comp , mcrl2 , 0.10 , 2020 , 56
factorial9 , exec , mcrl2 , failed with exit status 1
factorial9 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
factorial9 , exec , mcrl2-jittyc , failed with exit status 1
fib32 , comp , mcrl2 , 0.20 , 13216 , 9852
fib32 , exec , mcrl2 , 275.73 , 14280 , 9236
fib32 , comp , mcrl2-jittyc , 0.10 , 2020 , 56
fib32 , exec , mcrl2-jittyc , 22.92 , 14616 , 10404
fibfree , comp , mcrl2 , 0.20 , 15560 , 11540
fibfree , exec , mcrl2 , 0.10 , 2020 , 56
fibfree , comp , mcrl2-jittyc , 0.30 , 15560 , 12476
fibfree , exec , mcrl2-jittyc , 17.31 , 14556 , 10228
fibonacci , comp , mcrl2 , failed with exit status 1
fibonacci , comp , mcrl2-jittyc , failed with exit status 1
garbagecollection , comp , mcrl2 , 0.10 , 2020 , 56
garbagecollection , exec , mcrl2 , 0.10 , 2020 , 56
garbagecollection , comp , mcrl2-jittyc , 0.10 , 2020 , 52
garbagecollection , exec , mcrl2-jittyc , 10.71 , 14312 , 9828
hanoi , comp , mcrl2 , 0.10 , 2020 , 52
hanoi , exec , mcrl2 , 0.10 , 2020 , 52
hanoi , comp , mcrl2-jittyc , 0.10 , 2020 , 52
hanoi , exec , mcrl2-jittyc , 12.01 , 14408 , 10188
langton , comp , mcrl2 , 0.20 , 15628 , 9944
langton , exec , mcrl2 , failed with exit status 1
langton , comp , mcrl2-jittyc , 0.20 , 15628 , 12260
langton , exec , mcrl2-jittyc , failed with exit status 1
logic3 , comp , mcrl2 , 0.10 , 2020 , 56
logic3 , exec , mcrl2 , 0.10 , 2020 , 52
logic3 , comp , mcrl2-jittyc , 0.10 , 2020 , 52
logic3 , exec , mcrl2-jittyc , 10.11 , 14308 , 9932
merge , comp , mcrl2 , 0.10 , 2020 , 52
merge , exec , mcrl2 , 0.10 , 2020 , 56
merge , comp , mcrl2-jittyc , 0.10 , 2020 , 52
merge , exec , mcrl2-jittyc , 11.51 , 14364 , 10068
mergesort , comp , mcrl2 , timed out after 2500
mergesort , comp , mcrl2-jittyc , timed out after 2500
missionariescannibals , comp , mcrl2 , 0.20 , 13224 , 9584
missionariescannibals , exec , mcrl2 , failed with exit status 1
missionariescannibals , comp , mcrl2-jittyc , 0.20 , 13224 , 8952
missionariescannibals , exec , mcrl2-jittyc , failed with exit status 1
oddeven , comp , mcrl2 , 12.91 , 12548 , 9160
oddeven , exec , mcrl2 , 0.10 , 2020 , 52
oddeven , comp , mcrl2-jittyc , 13.01 , 12548 , 9156
oddeven , exec , mcrl2-jittyc , 11.01 , 14360 , 10096
permutations , comp , mcrl2 , 0.10 , 2020 , 52
permutations , exec , mcrl2 , 0.10 , 2020 , 52
permutations , comp , mcrl2-jittyc , 0.10 , 2020 , 56
permutations , exec , mcrl2-jittyc , 11.41 , 14364 , 9924
quicksort , comp , mcrl2 , timed out after 2500
quicksort , comp , mcrl2-jittyc , timed out after 2500
revelt , comp , mcrl2 , 0.10 , 2020 , 56
revelt , exec , mcrl2 , 0.10 , 2020 , 56
revelt , comp , mcrl2-jittyc , 0.10 , 2020 , 52
revelt , exec , mcrl2-jittyc , 9.61 , 14308 , 10132
revnat , comp , mcrl2 , failed with exit status 1
revnat , comp , mcrl2-jittyc , failed with exit status 1
sieve , comp , mcrl2 , failed with exit status 1
sieve , comp , mcrl2-jittyc , failed with exit status 1
tak , comp , mcrl2 , 0.10 , 2020 , 52
tak , exec , mcrl2 , 1.40 , 14268 , 9072
tak , comp , mcrl2-jittyc , 0.10 , 2020 , 52
tak , exec , mcrl2-jittyc , 11.21 , 14460 , 9896
tautologyhard , comp , mcrl2 , 0.20 , 13372 , 9856
tautologyhard , exec , mcrl2 , 0.10 , 2020 , 52
tautologyhard , comp , mcrl2-jittyc , 0.20 , 13372 , 9804
tautologyhard , exec , mcrl2-jittyc , 10.91 , 14364 , 9964
asfsdfbenchmark , comp , ocaml , 0.20 , 8216 , 5676
asfsdfbenchmark , exec , ocaml , timed out after 2500
binarysearch , comp , ocaml , 0.20 , 8216 , 5912
binarysearch , exec , ocaml , failed with exit status 2
bubblesort , comp , ocaml , 0.30 , 9408 , 7140
bubblesort , exec , ocaml , 9.41 , 5796 , 2868
closure , comp , ocaml , 0.60 , 10968 , 8372
closure , exec , ocaml , 0.30 , 5728 , 2772
dart , comp , ocaml , 0.10 , 2020 , 52
dart , exec , ocaml , 0.10 , 2020 , 56
