test_name,trial,ghc_real_time,ghc_max_mem,user_time,sys_time,real_time,max_mem,avg_mem
benchsym10.hs,0,0.45,122112.0,0.0,0.0,0.0,3312.0,0.0
benchsym10.hs,1,0.43,121896.0,0.0,0.0,0.0,3548.0,0.0
benchsym10.hs,2,0.42,122516.0,0.0,0.0,0.0,3688.0,0.0
benchsym10.hs,3,0.41,121948.0,0.0,0.0,0.0,3316.0,0.0
benchsym10.hs,4,0.41,122236.0,0.0,0.0,0.0,3484.0,0.0
missionaries3.hs,0,0.41,122740.0,0.0,0.0,0.0,3592.0,0.0
missionaries3.hs,1,0.41,122728.0,0.0,0.0,0.0,3596.0,0.0
missionaries3.hs,2,0.41,122468.0,0.0,0.0,0.0,3596.0,0.0
missionaries3.hs,3,0.39,122696.0,0.0,0.0,0.0,3532.0,0.0
missionaries3.hs,4,0.4,122660.0,0.0,0.0,0.0,3644.0,0.0
factorial7.hs,0,0.5,140324.0,0.0,0.0,0.0,4828.0,0.0
factorial7.hs,1,0.4,121968.0,0.0,0.0,0.0,4800.0,0.0
factorial7.hs,2,0.39,121672.0,0.0,0.0,0.0,4760.0,0.0
factorial7.hs,3,0.39,121996.0,0.0,0.0,0.0,4920.0,0.0
factorial7.hs,4,0.41,122160.0,0.0,0.0,0.0,4816.0,0.0
check2.hs,0,0.48,140056.0,0.0,0.0,0.0,3508.0,0.0
check2.hs,1,0.39,121136.0,0.0,0.0,0.0,3408.0,0.0
check2.hs,2,0.39,121116.0,0.0,0.0,0.0,3400.0,0.0
check2.hs,3,0.4,121124.0,0.0,0.0,0.0,3412.0,0.0
check2.hs,4,0.4,121136.0,0.0,0.0,0.0,3460.0,0.0
tricky.hs,0,0.56,140652.0,0.0,0.0,0.0,3532.0,0.0
tricky.hs,1,0.4,122080.0,0.0,0.0,0.0,3424.0,0.0
tricky.hs,2,0.39,122100.0,0.0,0.0,0.0,3336.0,0.0
tricky.hs,3,0.39,122576.0,0.0,0.0,0.0,3248.0,0.0
tricky.hs,4,0.39,122036.0,0.0,0.0,0.0,3256.0,0.0
revnat10000.hs,0,0.54,141436.0,5.05,0.02,5.07,7416.0,0.0
revnat10000.hs,1,0.4,122096.0,5.31,0.03,5.35,7536.0,0.0
revnat10000.hs,2,0.42,122120.0,5.26,0.03,5.29,7356.0,0.0
revnat10000.hs,3,0.41,122184.0,5.25,0.04,5.3,7444.0,0.0
revnat10000.hs,4,0.38,122436.0,5.8,0.03,5.83,7440.0,0.0
benchexpr22.hs,0,0.78,149168.0,0.58,0.0,0.59,6564.0,0.0
benchexpr22.hs,1,0.4,122656.0,0.57,0.0,0.58,6204.0,0.0
benchexpr22.hs,2,0.4,122656.0,0.57,0.0,0.58,6376.0,0.0
benchexpr22.hs,3,0.4,121908.0,0.57,0.0,0.58,6388.0,0.0
benchexpr22.hs,4,0.4,121988.0,0.57,0.0,0.57,6480.0,0.0
bubblesort720.hs,0,0.56,140824.0,0.17,0.0,0.17,4424.0,0.0
bubblesort720.hs,1,0.38,122192.0,0.18,0.0,0.18,4428.0,0.0
bubblesort720.hs,2,0.4,121928.0,0.18,0.0,0.18,4656.0,0.0
bubblesort720.hs,3,0.38,122012.0,0.17,0.0,0.17,4544.0,0.0
bubblesort720.hs,4,0.38,121824.0,0.18,0.0,0.18,4792.0,0.0
closure.hs,0,1.12,183896.0,0.0,0.0,0.0,5988.0,0.0
closure.hs,1,0.41,122344.0,0.0,0.0,0.0,6072.0,0.0
closure.hs,2,0.41,122380.0,0.0,0.0,0.0,5992.0,0.0
closure.hs,3,0.42,122404.0,0.0,0.0,0.0,5996.0,0.0
closure.hs,4,0.4,122348.0,0.0,0.0,0.0,5940.0,0.0
add8.hs,0,62.83,2238980.0,0.01,0.0,0.01,8400.0,0.0
add8.hs,1,0.48,136924.0,0.01,0.0,0.01,8400.0,0.0
add8.hs,2,0.47,136952.0,0.01,0.0,0.01,8412.0,0.0
add8.hs,3,0.46,137224.0,0.01,0.0,0.01,8412.0,0.0
add8.hs,4,0.47,136932.0,0.01,0.0,0.01,8460.0,0.0
evaltree.hs,0,0.64,141348.0,0.42,0.04,0.46,159996.0,0.0
evaltree.hs,1,0.41,121888.0,0.42,0.04,0.46,159932.0,0.0
evaltree.hs,2,0.4,121920.0,0.43,0.04,0.47,159936.0,0.0
evaltree.hs,3,0.4,122344.0,0.43,0.04,0.48,160184.0,0.0
evaltree.hs,4,0.39,122240.0,0.42,0.05,0.47,159940.0,0.0
benchsym22.hs,0,0.75,149508.0,0.31,0.0,0.31,4468.0,0.0
benchsym22.hs,1,0.4,121768.0,0.31,0.0,0.31,4512.0,0.0
benchsym22.hs,2,0.39,121948.0,0.3,0.0,0.31,4436.0,0.0
benchsym22.hs,3,0.39,121952.0,0.31,0.0,0.31,4512.0,0.0
benchsym22.hs,4,0.39,121760.0,0.32,0.0,0.32,4564.0,0.0
fibonacci18.hs,0,0.48,140300.0,0.0,0.0,0.0,4604.0,0.0
fibonacci18.hs,1,0.4,121968.0,0.0,0.0,0.0,4712.0,0.0
fibonacci18.hs,2,0.4,121736.0,0.0,0.0,0.0,4528.0,0.0
fibonacci18.hs,3,0.4,121732.0,0.0,0.0,0.0,4600.0,0.0
fibonacci18.hs,4,0.4,121640.0,0.0,0.0,0.0,4596.0,0.0
tak36.hs,0,0.61,142184.0,0.16,0.0,0.16,4440.0,0.0
tak36.hs,1,0.39,122308.0,0.16,0.0,0.16,4448.0,0.0
tak36.hs,2,0.39,122040.0,0.15,0.0,0.15,4492.0,0.0
tak36.hs,3,0.41,122248.0,0.17,0.0,0.17,4320.0,0.0
tak36.hs,4,0.38,121892.0,0.16,0.0,0.16,4556.0,0.0
natlist.hs,0,0.72,151492.0,0.0,0.0,0.0,4340.0,0.0
natlist.hs,1,0.4,123060.0,0.0,0.0,0.0,4168.0,0.0
natlist.hs,2,0.4,122864.0,0.0,0.0,0.0,4252.0,0.0
natlist.hs,3,0.4,123032.0,0.0,0.0,0.0,4156.0,0.0
natlist.hs,4,0.4,121008.0,0.0,0.0,0.0,4248.0,0.0
factorial9.hs,0,0.5,140380.0,0.04,0.0,0.04,21192.0,0.0
factorial9.hs,1,0.38,121792.0,0.04,0.0,0.04,21192.0,0.0
factorial9.hs,2,0.4,121768.0,0.04,0.0,0.04,21140.0,0.0
factorial9.hs,3,0.39,121996.0,0.03,0.0,0.04,20960.0,0.0
factorial9.hs,4,0.39,121764.0,0.04,0.01,0.06,21308.0,0.0
mergesort1000.hs,0,0.63,141980.0,0.04,0.0,0.04,4940.0,0.0
mergesort1000.hs,1,0.4,122340.0,0.04,0.0,0.04,4884.0,0.0
mergesort1000.hs,2,0.41,122444.0,0.04,0.0,0.04,4844.0,0.0
mergesort1000.hs,3,0.4,122300.0,0.04,0.0,0.04,4944.0,0.0
mergesort1000.hs,4,0.4,122248.0,0.04,0.0,0.04,4844.0,0.0
mergesort100.hs,0,0.63,141988.0,0.0,0.0,0.0,4692.0,0.0
mergesort100.hs,1,0.4,122380.0,0.0,0.0,0.0,4972.0,0.0
mergesort100.hs,2,0.41,121860.0,0.0,0.0,0.0,4680.0,0.0
mergesort100.hs,3,0.41,122144.0,0.0,0.0,0.0,4844.0,0.0
mergesort100.hs,4,0.41,121856.0,0.0,0.0,0.0,4912.0,0.0
fibonacci20.hs,0,0.5,140240.0,0.0,0.0,0.0,4808.0,0.0
fibonacci20.hs,1,0.41,121732.0,0.0,0.0,0.0,4476.0,0.0
fibonacci20.hs,2,0.4,121772.0,0.0,0.0,0.0,4536.0,0.0
fibonacci20.hs,3,0.4,121824.0,0.0,0.0,0.0,4696.0,0.0
fibonacci20.hs,4,0.41,121748.0,0.0,0.0,0.0,4808.0,0.0
benchtree10.hs,0,0.77,147952.0,0.0,0.0,0.0,4408.0,0.0
benchtree10.hs,1,0.41,122040.0,0.0,0.0,0.0,4244.0,0.0
benchtree10.hs,2,0.41,122268.0,0.0,0.0,0.0,4400.0,0.0
benchtree10.hs,3,0.4,122248.0,0.0,0.0,0.0,4676.0,0.0
benchtree10.hs,4,0.4,121748.0,0.0,0.0,0.0,4416.0,0.0
bubblesort100.hs,0,0.59,142040.0,0.0,0.0,0.0,4612.0,0.0
bubblesort100.hs,1,0.4,122024.0,0.0,0.0,0.0,4704.0,0.0
bubblesort100.hs,2,0.39,122216.0,0.0,0.0,0.0,4788.0,0.0
bubblesort100.hs,3,0.4,121804.0,0.0,0.0,0.0,4844.0,0.0
bubblesort100.hs,4,0.4,121920.0,0.0,0.0,0.0,4608.0,0.0
factorial8.hs,0,0.51,140316.0,0.0,0.0,0.0,5480.0,0.0
factorial8.hs,1,0.41,122044.0,0.0,0.0,0.0,5380.0,0.0
factorial8.hs,2,0.41,121576.0,0.0,0.0,0.0,5596.0,0.0
factorial8.hs,3,0.41,121924.0,0.0,0.0,0.0,5656.0,0.0
factorial8.hs,4,0.41,122192.0,0.0,0.0,0.0,5548.0,0.0
bubblesort20.hs,0,0.59,141788.0,0.0,0.0,0.0,3508.0,0.0
bubblesort20.hs,1,0.4,121608.0,0.0,0.0,0.0,3324.0,0.0
bubblesort20.hs,2,0.41,122060.0,0.0,0.0,0.0,3428.0,0.0
bubblesort20.hs,3,0.4,121848.0,0.0,0.0,0.0,3336.0,0.0
bubblesort20.hs,4,0.41,122472.0,0.0,0.0,0.0,3328.0,0.0
mul16.hs,0,26.28,1262948.0,0.15,0.0,0.15,5824.0,0.0
mul16.hs,1,0.41,123808.0,0.15,0.0,0.15,5820.0,0.0
mul16.hs,2,0.42,124212.0,0.15,0.0,0.16,6092.0,0.0
mul16.hs,3,0.43,123768.0,0.16,0.0,0.16,5900.0,0.0
mul16.hs,4,0.41,123948.0,0.15,0.0,0.15,5820.0,0.0
fib32.hs,0,0.71,139440.0,0.51,0.04,0.56,163004.0,0.0
fib32.hs,1,0.39,121940.0,0.52,0.05,0.58,162880.0,0.0
fib32.hs,2,0.4,122088.0,0.54,0.02,0.56,162992.0,0.0
fib32.hs,3,0.41,121848.0,0.5,0.06,0.56,162992.0,0.0
fib32.hs,4,0.4,121760.0,0.51,0.04,0.56,163172.0,0.0
benchexpr20.hs,0,0.75,148004.0,0.14,0.0,0.14,6296.0,0.0
benchexpr20.hs,1,0.39,122212.0,0.14,0.0,0.14,6484.0,0.0
benchexpr20.hs,2,0.4,122080.0,0.15,0.0,0.15,6372.0,0.0
benchexpr20.hs,3,0.39,122080.0,0.13,0.01,0.15,6196.0,0.0
benchexpr20.hs,4,0.41,121956.0,0.15,0.0,0.15,6392.0,0.0
binarysearch.hs,0,0.79,151372.0,1.01,0.11,1.13,166116.0,0.0
binarysearch.hs,1,0.4,122232.0,1.04,0.08,1.13,165952.0,0.0
binarysearch.hs,2,0.39,121944.0,1.03,0.08,1.12,166116.0,0.0
binarysearch.hs,3,0.4,121936.0,1.0,0.11,1.12,166048.0,0.0
binarysearch.hs,4,0.4,122020.0,1.05,0.09,1.15,166048.0,0.0
permutations7.hs,0,0.59,142364.0,0.04,0.0,0.04,8452.0,0.0
permutations7.hs,1,0.4,121788.0,0.05,0.0,0.05,8508.0,0.0
permutations7.hs,2,0.39,122572.0,0.04,0.0,0.04,8392.0,0.0
permutations7.hs,3,0.4,122064.0,0.05,0.0,0.05,8392.0,0.0
permutations7.hs,4,0.41,122000.0,0.04,0.0,0.05,8280.0,0.0
evalsym.hs,0,0.68,140748.0,1.89,0.0,1.89,5020.0,0.0
evalsym.hs,1,0.39,122064.0,1.83,0.0,1.84,4768.0,0.0
evalsym.hs,2,0.41,121748.0,1.92,0.0,1.92,4884.0,0.0
evalsym.hs,3,0.39,123000.0,1.91,0.0,1.91,4828.0,0.0
evalsym.hs,4,0.39,121908.0,1.92,0.0,1.92,4836.0,0.0
mul32.hs,0,40.8,1950596.0,0.56,0.0,0.56,6152.0,0.0
mul32.hs,1,0.41,126152.0,0.56,0.0,0.57,6164.0,0.0
mul32.hs,2,0.43,126448.0,0.58,0.0,0.59,6148.0,0.0
mul32.hs,3,0.42,126032.0,0.58,0.0,0.58,6156.0,0.0
mul32.hs,4,0.42,125868.0,0.58,0.0,0.59,6144.0,0.0
tautologyhard.hs,0,0.5,141248.0,0.0,0.0,0.0,3596.0,0.0
tautologyhard.hs,1,0.4,121112.0,0.0,0.0,0.0,3332.0,0.0
tautologyhard.hs,2,0.39,120968.0,0.0,0.0,0.0,3232.0,0.0
tautologyhard.hs,3,0.39,121068.0,0.0,0.0,0.0,3224.0,0.0
tautologyhard.hs,4,0.4,120888.0,0.0,0.0,0.0,3420.0,0.0
permutations6.hs,0,0.61,142192.0,0.0,0.0,0.0,5324.0,0.0
permutations6.hs,1,0.39,121756.0,0.0,0.0,0.0,5056.0,0.0
permutations6.hs,2,0.4,121828.0,0.0,0.0,0.0,5328.0,0.0
permutations6.hs,3,0.41,121848.0,0.0,0.0,0.01,5152.0,0.0
permutations6.hs,4,0.41,121832.0,0.0,0.0,0.0,5140.0,0.0
quicksort10.hs,0,0.62,142120.0,0.0,0.0,0.0,3476.0,0.0
quicksort10.hs,1,0.4,122184.0,0.0,0.0,0.0,3516.0,0.0
quicksort10.hs,2,0.41,122532.0,0.0,0.0,0.0,3456.0,0.0
quicksort10.hs,3,0.43,122212.0,0.0,0.0,0.0,3296.0,0.0
quicksort10.hs,4,0.4,122284.0,0.0,0.0,0.0,3280.0,0.0
revnat1000.hs,0,0.55,141012.0,0.03,0.0,0.03,4600.0,0.0
revnat1000.hs,1,0.39,122180.0,0.02,0.0,0.03,4604.0,0.0
revnat1000.hs,2,0.4,121808.0,0.03,0.0,0.03,4856.0,0.0
revnat1000.hs,3,0.4,122236.0,0.03,0.0,0.03,4592.0,0.0
revnat1000.hs,4,0.39,122000.0,0.03,0.0,0.03,4764.0,0.0
fibonacci21.hs,0,0.51,140320.0,0.0,0.0,0.0,4564.0,0.0
fibonacci21.hs,1,0.42,121804.0,0.0,0.0,0.0,4520.0,0.0
fibonacci21.hs,2,0.4,121720.0,0.0,0.0,0.0,4516.0,0.0
fibonacci21.hs,3,0.41,121632.0,0.0,0.0,0.0,4808.0,0.0
fibonacci21.hs,4,0.4,121652.0,0.0,0.0,0.0,4716.0,0.0
hanoi16.hs,0,0.74,142292.0,0.04,0.0,0.04,8444.0,0.0
hanoi16.hs,1,0.4,122564.0,0.04,0.0,0.04,8428.0,0.0
hanoi16.hs,2,0.41,122172.0,0.06,0.0,0.06,8432.0,0.0
hanoi16.hs,3,0.4,122624.0,0.04,0.0,0.04,8428.0,0.0
hanoi16.hs,4,0.4,123252.0,0.04,0.0,0.04,8356.0,0.0
hanoi8.hs,0,0.73,141812.0,0.0,0.0,0.0,3964.0,0.0
hanoi8.hs,1,0.42,122400.0,0.0,0.0,0.0,3908.0,0.0
hanoi8.hs,2,0.41,122564.0,0.0,0.0,0.0,3796.0,0.0
hanoi8.hs,3,0.41,122536.0,0.0,0.0,0.0,3904.0,0.0
hanoi8.hs,4,0.4,122656.0,0.0,0.0,0.0,3964.0,0.0
omul8.hs,0,18.4,723432.0,0.02,0.0,0.03,5772.0,0.0
omul8.hs,1,0.43,122992.0,0.03,0.0,0.03,5744.0,0.0
omul8.hs,2,0.42,122420.0,0.04,0.0,0.04,5592.0,0.0
omul8.hs,3,0.42,122500.0,0.03,0.0,0.03,5880.0,0.0
omul8.hs,4,0.43,122576.0,0.02,0.0,0.03,5704.0,0.0
sieve10000.hs,0,0.7,139908.0,15.37,0.0,15.37,7440.0,0.0
sieve10000.hs,1,0.39,122032.0,14.92,0.0,14.93,7452.0,0.0
sieve10000.hs,2,0.38,122556.0,15.05,0.01,15.06,7544.0,0.0
sieve10000.hs,3,0.39,121912.0,15.13,0.01,15.14,7260.0,0.0
sieve10000.hs,4,0.4,122132.0,15.08,0.0,15.09,7544.0,0.0
confluence.hs,0,0.49,140280.0,0.0,0.0,0.0,3412.0,0.0
confluence.hs,1,0.4,121792.0,0.0,0.0,0.0,3408.0,0.0
confluence.hs,2,0.41,121984.0,0.0,0.0,0.0,3596.0,0.0
confluence.hs,3,0.4,121688.0,0.0,0.0,0.0,3604.0,0.0
confluence.hs,4,0.42,121616.0,0.0,0.0,0.0,3596.0,0.0
factorial5.hs,0,0.52,140336.0,0.0,0.0,0.0,3268.0,0.0
factorial5.hs,1,0.4,121556.0,0.0,0.0,0.0,3556.0,0.0
factorial5.hs,2,0.4,121556.0,0.0,0.0,0.0,3636.0,0.0
factorial5.hs,3,0.4,121736.0,0.0,0.0,0.0,3264.0,0.0
factorial5.hs,4,0.4,122148.0,0.0,0.0,0.0,3636.0,0.0
benchexpr10.hs,0,0.75,148968.0,0.0,0.0,0.0,3796.0,0.0
benchexpr10.hs,1,0.41,121876.0,0.0,0.0,0.0,3912.0,0.0
benchexpr10.hs,2,0.41,122032.0,0.0,0.0,0.0,3852.0,0.0
benchexpr10.hs,3,0.42,122132.0,0.0,0.0,0.0,3724.0,0.0
